Dimension	SubDimension	Indicator_short	Indicator_Long	Indicator	Indicator_code	Source
Alignment	Labour market imbalances	Obstacle to long-term investments	% of enterprises reporting availability of staff with the right skills as a major obstacle to long-term investment decisions	Obstacle to long-term investments: % of enterprises reporting availability of staff with the right skills as a major obstacle to long-term investment decisions	6_1_3	EIBIS
Alignment	Assessment of skill needs	Enterprises assessing skill needs	% of enterprises that assess their future skill needs	Enterprises assessing skill needs: % of enterprises that assess their future skill needs	6_2_1	CVTS
Alignment	Training for future skill needs	Training to fill skill gaps	% of enterprises that provide training in response to future skill needs	Training to fill skill gaps: % of enterprises that provide training in response to future skill needs	6_3_1	CVTS
Alignment	Training for future skill needs	Non-compulsory training	% of training hours outside compulsory training	Non-compulsory training: % of training hours outside compulsory training	6_3_2	CVTS
Alignment	Training for future skill needs	Training for development	Overlap between enterprises' skills priorities and their training activities (0-3)	Training for development: Overlap between enterprises' skills priorities and their training activities (0-3)	6_3_3	CVTS
Alignment	Training for workers at risk	Easy-to-fill occupations	Percentage point difference in participation between workers in easy-to-fill and hard-to-fill occupations	Easy-to-fill occupations: Percentage point difference in participation between workers in easy-to-fill and hard-to-fill occupations	6_4_1	PIAAC
Alignment	Training for workers at risk	Jobs at risk of automation	Percentage point difference in participation between workers in jobs with significant risk of automation and low risk of automation	Jobs at risk of automation: Percentage point difference in participation between workers in jobs with significant risk of automation and low risk of automation	6_4_2	PIAAC
Flexiguidance	Flexibility of training provision	Time or distance barriers to participation	% of individuals who wanted to participate but did not for time or distance constraints	Time or distance barriers to participation: % of individuals who wanted to participate but did not for time or distance constraints	7_1_1	PIAAC
Flexiguidance	Flexibility of training provision	Distance learning	% of individuals who state that one of their trainings was organised as distance learning	Distance learning: % of individuals who state that one of their trainings was organised as distance learning	7_1_2	PIAAC
Flexiguidance	Use of career guidance services	Looked for information	% of adult population who looked for information on training and education	Looked for information: % of adult population who looked for information on training and education	7_2_1	AES
Flexiguidance	Use of career guidance services	Received information	% of adults who received information or advice/help on learning possibilities from institutions/organisations	Received information: % of adults who received information or advice/help on learning possibilities from institutions/organisations	7_2_2	AES
