Country	3_1_1	3_1_2	3_1_3	3_2_1	3_2_2	3_3_3	3_4_3	3_1_1_adj	3_1_2_adj	3_1_3_adj	3_2_1_adj	3_2_2_adj	3_3_3_adj	3_4_3_adj	3_1_1_norm	3_1_2_norm	3_1_3_norm	3_2_1_norm	3_2_2_norm	3_3_3_norm	3_4_3_norm	EMP	IND	Total	Ranking
United Kingdom	85.7	31.7	-5.2	48.7	65.4	32.0	35.0	85.7	31.7	-5.2	48.7	65.4	32.0	35.0	0.818414322	0.206566347	0.057239237	0.777525857	0.698436692	0.583333333	0.433997598	0.360739969	0.62332337	0.492031669	21
Greece	21.7	21.3	3.3	16.2	60.8	32.0	7.5	21.7	21.3	3.3	16.2	60.8	32.0	7.5	0	0.064295486	0.14452698	0.000999025	0.584526786	0.583333333	0.275061711	0.069607489	0.360980214	0.215293851	32
Hungary	43.8	18.9	-10.8					43.8	18.9	-10.8					0.282608696	0.031463748	0					0.104690815		0.104690815	33
Ireland	77.4	37.5	15.7	43.0	63.3	30.0		77.4	37.5	15.7	43.0	63.3	30.0		0.712276215	0.285909713	0.270988672	0.642535346	0.646750481	0.5		0.4230582	0.596428609	0.509743404	20
Israel				38.8	65.3	37.5					38.8	65.3	37.5					0.541892353	0.695438901	0.8125			0.683277084	0.683277084	4
Italy	60.2	46.5	87.0	20.1	61.4	30.0	132.9	60.2	46.5	87.0	20.1	61.4	30.0	132.9	0.492327366	0.409028728	1	0.094011306	0.599745048	0.5	1	0.633785364	0.548439088	0.591112226	13
Japan	79.0			35.2	61.0	24.0		79.0			35.2	61.0	24.0		0.732736573			0.454091609	0.589066439	0.25			0.431052683	0.431052683	27
Korea				38.0	37.6	30.0					38.0	37.6	30.0					0.520974008	0	0.5			0.340324669	0.340324669	28
Lithuania	61.6	21.8	32.8	27.4	40.9	32.0	-6.5	61.6	21.8	32.8	27.4	40.9	32.0	-6.5	0.510230179	0.071135431	0.445550415	0.268772253	0.081955665	0.583333333	0.194130875	0.342305342	0.282048032	0.312176687	29
Luxembourg	77.1	47.8	7.4					77.1	47.8	7.4					0.708439898	0.426812585	0.185941285					0.440397923		0.440397923	26
Latvia	99.9	16.6	174.5				46.3	99.9	16.6	87.0				46.3	1	0	1				0.499702139	0.666666667		0.666666667	5
Netherlands	85.0	38.0	13.8	52.9	60.7	32.0	50.7	85.0	38.0	13.8	52.9	60.7	32.0	50.7	0.809462916	0.292749658	0.251484181	0.878439804	0.579938242	0.583333333	0.524956844	0.451232251	0.641667055	0.546449653	17
Norway	99.1	52.4	15.2	56.0	75.3		5.3	99.1	52.4	15.2	56.0	75.3		5.3	0.989769821	0.489740082	0.26625716	0.952265545	0.948506504		0.262588321	0.581922354	0.721120123	0.651521239	8
New Zealand	95.2	43.1	1.2	57.4	73.3	32.0		95.2	43.1	1.2	57.4	73.3	32.0		0.939897698	0.361833105	0.122293577	0.985013095	0.897985876	0.583333333		0.474674794	0.822110768	0.648392781	9
Poland	44.7	34.5	28.4	28.7	50.5	23.0	21.6	44.7	34.5	28.4	28.7	50.5	23.0	21.6	0.294117647	0.244870041	0.401455186	0.30004868	0.324736837	0.208333333	0.356743719	0.313480958	0.297465642	0.3054733	30
Portugal	75.0	42.6	70.1				111.6	75.0	42.6	70.1				111.6	0.681585678	0.355677155	0.827229125				0.877277718	0.621497319		0.621497319	10
Slovak Republic	70.0	58.7	15.9	29.2	66.9	25.0	10.3	70.0	58.7	15.9	29.2	66.9	25.0	10.3	0.617647059	0.575923393	0.273024179	0.311485581	0.736922664	0.291666667	0.291171837	0.488864877	0.407811687	0.448338282	25
Slovenia	84.1	51.1	15.4	36.5	64.4	28.0	46.1	84.1	51.1	15.4	36.5	64.4	28.0	46.1	0.797953964	0.471956224	0.267596827	0.485323304	0.675200325	0.416666667	0.498324442	0.512502338	0.518878684	0.515690511	18
Sweden	93.1	50.0		52.5	68.2	35.3	-19.3	93.1	50.0		52.5	68.2	35.3	-19.3	0.913043478	0.456908345		0.867742067	0.770781099	0.71875	0.11999816	0.684975911	0.619317832	0.652146872	7
Turkey	39.8		24.4	16.2	43.0	18.0	53.3	39.8		24.4	16.2	43.0	18.0	53.3	0.231457801		0.360040946	0	0.136443428	0	0.540179696	0.295749373	0.169155781	0.232452577	31
United States				50.5	74.6	30.0					50.5	74.6	30.0					0.822083494	0.929646021	0.5			0.750576505	0.750576505	1
